6,19
6,20
7,19
7,20
13,20
14,19
14,21
15,19
15,21
15,25
15,26
15,27
16,20
16,24
16,27
16,28
17,24
17,25
17,29
18,18
18,19
18,28
18,29
18,30
19,18
19,19
19,28
19,29
20,18
20,26
20,28
21,18
21,19
21,26
21,27
22,20
22,22
22,23
23,20
23,21
23,23
23,24
24,20
24,21
24,23
24,24
25,20
25,23
26,20
26,23
27,20
27,21
27,22
28,17
29,15
29,16
29,18
30,14
30,18
31,13
31,14
31,16
31,17
35,11
35,12
36,16
36,18
37,19
37,20
37,21
37,25
37,26
37,27
40,17
40,18
41,17
41,18
56,51
56,52
57,51
57,53
58,53
59,53
59,54
